relacja,liczba_lat
Przemyśl Gł. -> Berlin Hbf,5
Mockava -> Kraków Gł.,5
Kraków Gł. -> Bohumin,5
Warszawa Wschodnia -> Bohumin,5
Warszawa Wschodnia -> Berlin Hbf,5
Kyiv - Pas. -> Chełm,5
Kyiv - Pas. -> Przemyśl Gł.,5
Gdynia Gł. -> Berlin Hbf,4
Zaporizhzhia I -> Przemyśl Gł.,3
Graz Hbf -> Kraków Gł.,3
Bohumin -> Kołobrzeg,3
Wrocław Gł. -> Leipzig Hbf,3
Warszawa Wschodnia -> Vršovice,3
Dnipro Hl. -> Chełm,3
Bohumin -> Lublin Gł.,3
Wien Westbf -> Warszawa Wschodnia,3
Bohumin -> Poznań Gł.,3
Bohumin -> Przemyśl Gł.,3
Bohumin -> Wrocław Gł.,3
Bohumin -> Łeba,3
Graz Hbf -> Przemyśl Gł.,3
Chełm -> Pas.,3
Budapest - Nyugati -> Warszawa Wschodnia,3
Zaporizhzhia I -> Hl.,3
Warszawa Wschodnia -> Svinov,3
Wien Hbf -> Gdynia Gł.,3
Wien Hbf -> Katowice,3
Wien Hbf -> Warszawa Wschodnia,3
Wien Westbf -> Katowice,3
Wien Westbf -> Kraków Gł.,3
 -> ,3
Warszawa Wschodnia -> Praha hl.n.,3
Kraków Gł. -> Berlin Hbf,3
Mockava -> Szczecin Gł.,3
Przemyśl Gł. -> Charlottenburg,3
Przemyśl Gł. -> Graz Hbf,3
Praha hl.n. -> Gdynia Gł.,3
Przemyśl Gł. -> Praha hl.n.,3
Przemyśl Gł. -> Vršovice,3
Rava Ruskaia -> Lublin Gł.,3
Warszawa Wschodnia -> München Hbf,3
Berlin Hbf -> Gdynia Gł.,3
Gdynia Gł. -> Praha hl.n.,3
Kyiv - Pas. -> Warszawa Wschodnia,3
Kraków Gł. -> Mockava,3
Warszawa Wschodnia -> Berlin Charlottenburg,3
Mockava -> Suwałki,3
Kharkiv - Pas. -> Chełm,2
Praha hl.n. -> Przemyśl Gł.,2
Wrocław Gł. -> Bohumin,2
Przemyśl Gł. -> Kryvyi Rih,2
Graz Hbf -> Berlin Charlottenburg,2
Przemyśl Gł. -> Pas.,2
Kraków Gł. -> Wien Westbf,2
Warszawa Wschodnia -> Wien Westbf,2
Kryvyi Rih -> Przemyśl Gł.,2
Kyiv - Pas. -> Kharkiv,2
Odessa Hl. -> Przemyśl Gł.,2
Kharkiv -> Pas.,2
Odessa Hl. -> Kiev Pass.,2
Kharkiv - Pas. -> Przemyśl Gł.,2
Berlin Hbf -> Przemyśl Gł.,2
Budapest - Nyugati -> Terespol,2
Berlin Hbf -> Warszawa Wschodnia,2
Bohumin -> Warszawa Wschodnia,2
Berlin - Gesundbrunnen -> Przemyśl Gł.,2
Bohumin -> Hel,2
Łeba -> Bohumin,2
Ustka -> Biała Gł.,1
Terespol 18:37/Warszawa Wsch. -> Poznań Gł.,1
Terespol -> Warszawa Zachodnia,1
Terespol -> Warszawa Wschodnia,1
Terespol -> Poznań Gl.,1
Tczew -> Bydgoszcz Gł.,1
Łódź Fabr. -> Warszawa Gł.,1
Szklarska Poręba Grn. 15:30/Jelenia Góra -> Warszawa Wschodnia,1
Szklarska Poręba Grn. -> Warszawa Wschodnia,1
Szczecinek -> Warszawa Wschodnia,1
Szczecin Gł. -> Łódź Fabr.,1
Szczecin Gł. -> Zakopane,1
Szczecin Gł. -> Wrocław Gł.,1
Szczecin Gł. -> Warszawa Wschodnia,1
Szczecin Gł. -> Warszawa Gł.,1
Ustka -> Kraków Gł.,1
Łódź Fabr. -> Słupsk 12:17/Kołobrzeg,1
Łódź Fabr. -> Warszawa Centralna,1
Warszawa Gł. -> Poznań Gł.,1
Łódź Fabr. -> Hel,1
Łódź Fabr. -> Kołobrzeg,1
Warszawa Wschodnia -> ,1
Warszawa Gł. -> Zakopane,1
Warszawa Gł. -> Wrocław Gł.,1
Warszawa Gł. -> Szczecin Gł.,1
Łódź Fabr. -> Kraków Gł.,1
Warszawa Centralna -> Wrocław Gł.,1
Łódź Fabr. -> Szczecin Gł.,1
Warszawa Centralna -> Olsztyn Gł.,1
Warszawa Centralna -> Kraków Gł.,1
Warszawa Centralna -> Gdynia Gł.,1
Warszawa Centralna -> Białystok,1
Ustka -> Przemyśl Gł.,1
Ustka -> Poznań Gł.,1
Łódź Fabr. -> Olsztyn Gł.,1
Łódź Fabr. -> Warszawa Wschodnia,1
Zakopane -> Szczecin Gł.,1
Łódź Fabr. -> Gdynia Gł.,1
Łódź Kaliska -> Warszawa Wschodnia,1
Płock -> Katowice,1
Przemyśl Gł. -> Świnoujście,1
Przemyśl Gł. -> Zielona Góra Gł.,1
Przemyśl Gł. -> Zaporizhzhia I,1
Przemyśl Gł. -> Wrocław Gł.,1
Przemyśl Gł. -> Warszawa Wschodnia,1
Świnoujście -> ,1
Przemyśl Gł. -> Szczecin Gł.,1
Świnoujście -> Kraków Gł.,1
Świnoujście -> Przemyśl Gł.,1
Przemyśl Gł. -> Kyiv Pass.,1
Świnoujście -> Suwałki,1
Świnoujście -> Warszawa Wschodnia,1
Świnoujście -> Wrocław Gł.,1
Przemyśl Gł. -> Kraków Gł.,1
Świnoujście -> Zakopane,1
Świnoujście 16:02 / Szczecin Gł. -> Warszawa Wschodnia,1
Racibórz -> Olsztyn Gł.,1
Rzeszów Gł. -> ,1
Szczecin Gł. -> Przemyśl Gł.,1
Rzeszów Gł. -> Gdynia Gł.,1
Szczecin Gł. -> Pisz,1
Łódź Fabryczna -> Gdynia Gł.,1
Szczecin Gł. -> Olsztyn Gł.,1
Szczecin Gł. -> Mockava,1
Szczecin Gł. -> Lublin Gł.,1
Szczecin Gł. -> Kraków Główny,1
Szczecin Gł. -> Kraków Gł.,1
Szczecin Gł. -> Kołobrzeg,1
Szczecin Gł. -> Kamień Pomorski,1
Szczecin Gł. -> Gdańsk Gł.,1
Szczecin Gł. -> Chełm,1
Szczecin Gł. -> Białystok,1
Szczecin Gł. -> ,1
Suwałki -> Świnoujście,1
Suwałki -> Mockava,1
Sandomierz -> Warszawa Wschodnia,1
Rzeszów Gł. -> Piła Gł.,1
Warszawa Wschodnia -> Biała Gł.,1
Warszawa Wschodnia -> Bydgoszcz Gł.,1
Warszawa Wschodnia -> Białystok,1
WarszawaWsch. -> Nyugati,1
Wrocław Gł. -> Kielce Gł.,1
Wrocław Gł. -> Jelenia Góra,1
Wrocław Gł. -> Gdynia Gł.,1
Zakopane 11:34/Kraków Gł. -> Gdynia Gł.,1
Wrocław Gł. -> Białystok,1
Wisła Uzdrowisko -> Warszawa Wschodnia,1
Zakopane 12:13/Kraków Gł. -> Gdynia Gł.,1
Zaporizhzhia 1 -> Hl.,1
Zaporizhzhia 1 -> Przemyśl Gł.,1
Zbąszynek -> Gorzów Wlkp.,1
Zgorzelec -> Warszawa Wschodnia,1
Zielona Góra Gł. -> Białystok,1
Wien Westbf -> ,1
Wien Westbahnhof -> Warszawa Wschodnia,1
Zielona Góra Gł. -> Chełm,1
Wien Hbf -> Kraków Gł.,1
Zielona Góra Gł. -> Gdynia Gł.,1
Wrocław Gł. -> Kołobrzeg,1
Wrocław Gł. -> Kraków Pł.,1
Zakopane -> Świnoujście,1
Wrocław Gł. -> Zdrój,1
Zakopane -> Kołobrzeg,1
Zakopane -> Gdynia Gł.,1
Zakopane -> Chabówka,1
Zakopane -> Bydgoszcz Gł.,1
Zakopane -> ,1
Zagórz -> Kraków Gł.,1
Wrocław Gł. -> Świnoujście,1
Wrocław Gł. -> Warszawa Wschodnia,1
Wrocław Gł. -> Lublin Gł.,1
Wrocław Gł. -> Warszawa Gł.,1
Wrocław Gł. -> Szczecin Gł.,1
Zakopane -> Warszawa Wschodnia,1
Wrocław Gł. -> Przemyśl Gł.,1
Wrocław Gł. -> Przemysl Gł.,1
Wrocław Gł. -> Poznań Gł.,1
Wrocław Gł. -> Olsztyn Gł.,1
Zielona Góra Gł. -> Lublin Gł.,1
Warszawa Zachodnia -> Terespol,1
Łódź Fabr. -> Białystok,1
Warszawa Zachodnia -> Pas.,1
Warszawa Wschodnia -> Terespol,1
Warszawa Wschodnia -> Szklarska Poręba Grn.,1
Warszawa Wschodnia -> Szczecin Gł. 10:31 / Świnoujście,1
Warszawa Wschodnia -> Szczecin Gł.,1
Warszawa Wschodnia -> Sandomierz,1
Warszawa Wschodnia -> Przemyśl Gł.,1
Warszawa Wschodnia -> Pas.,1
Łeba -> Kraków Gł.,1
Warszawa Wschodnia -> Nyugati,1
