relacja,liczba_pociagow
Warszawa Wschodnia -> Berlin Hbf,607
Kyiv - Pas. -> Przemyśl Gł.,320
Praha hl.n. -> Gdynia Gł.,199
Przemyśl Gł. -> Berlin Hbf,174
Kyiv - Pas. -> Chełm,166
Warszawa Wschodnia -> Praha hl.n.,149
Kraków Gł. -> Bohumin,133
Mockava -> Kraków Gł.,113
Warszawa Wschodnia -> Bohumin,111
Wien Hbf -> Warszawa Wschodnia,101
Kyiv - Pas. -> Warszawa Wschodnia,89
Kraków Gł. -> Berlin Hbf,83
Graz Hbf -> Przemyśl Gł.,83
Wien Hbf -> Katowice,83
Warszawa Wschodnia -> München Hbf,82
Budapest - Nyugati -> Warszawa Wschodnia,82
Gdynia Gł. -> Praha hl.n.,75
Bohumin -> Łeba,68
Warszawa Wschodnia -> Vršovice,67
Przemyśl Gł. -> Praha hl.n.,66
Bohumin -> Wrocław Gł.,66
Warszawa Wschodnia -> Berlin Charlottenburg,66
Berlin Hbf -> Gdynia Gł.,64
Bohumin -> Kołobrzeg,64
Rava Ruskaia -> Lublin Gł.,63
Dnipro Hl. -> Chełm,63
Zaporizhzhia I -> Hl.,62
Kharkiv -> Przemyśl Gł.,57
 -> ,55
Wien Westbf -> Warszawa Wschodnia,51
